rank,name,industry,revenue,growth,employees,headquarters
95,Ingram Micro,Technology,"47,984",-0.1%,"26,125","Irvine, California"
96,General Dynamics,Aerospace and defense,"47,716",12.9%,"117,000","Reston, Virginia"
97,Coca-Cola company,Beverage,"47,061",2.9%,"69,700",Atlanta Georgia
98,TIAA,Financials,"46,946",2.6%,"15,623",New York City
99,The Travelers Companies,Insurance,"46,423",12.2%,"34,000",New York City
100,Eli Lilly and Company,Pharmaceutical,"45,043",32.0%,"47,000","Indianapolis, Indiana"
1,Cargill,Food & Drink,154,"155,000","Minnetonka, Minnesota",N/A
2,Koch Industries,Multicompany,125,"120,000","Wichita, Kansas",N/A
3,Publix Super Markets,Food Markets,59.7,"260,000","Lakeland, Florida",N/A
4,"Mars, Incorporated",Food & Drink,55,"150,000","McLean, Virginia",N/A
5,H-E-B,Food Markets,49.57,"175,000","San Antonio, Texas",N/A
6,Reyes Holdings,"Food, Drink & Tobacco",44,"36,000","Rosemont, Illinois",N/A
7,Enterprise Mobility,Services,38,"100,000","Clayton, Missouri",N/A
8,Fidelity Investments,Insurance,32.7,"78,000","Boston, Massachusetts",N/A
9,Southern Glazer's Wine and Spirits,"Food, Drink & Tobacco",25,"24,000","Miramar, Florida",N/A
10,Cox Enterprises,Media,23.5,"50,000","Atlanta, Georgia",N/A
1,Alphabet Inc.,Technology and cloud computing,"100,118","Mountain View, California",N/A,N/A
2,Apple Inc.,Technology,"93,736","Cupertino, California",N/A,N/A
3,Berkshire Hathaway,Conglomerate,"88,995","Omaha, Nebraska",N/A,N/A
4,Microsoft,Technology and cloud computing,"88,136","Redmond, Washington",N/A,N/A
5,Nvidia,Technology,"72,880","Santa Clara, California",N/A,N/A
6,Meta Platforms,Technology,"62,360","Menlo Park, California",N/A,N/A
7,Amazon (company),Retail and cloud computing,"59,248","Seattle, Washington",N/A,N/A
8,JPMorgan Chase,Financials,"58,471","New York City, New York",N/A,N/A
9,ExxonMobil,Petroleum industry,"33,680","Spring, Texas",N/A,N/A
10,Bank of America,Financials,"27,132","Charlotte, North Carolina",N/A,N/A
